iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
130	0.401206	0.471936	0.225828	0.0334788	0.405089	0.109949	0.109125	7.829072e+00	-1.958516e+02	-1.880225e+02
131	0.392634	0.61554	0.225828	0.0334788	0.405089	0.109797	0.109125	6.666988e+00	-1.964074e+02	-1.897404e+02
132	0.301166	0.61554	0.225828	0.0334788	0.407253	0.109797	0.109125	6.182869e+00	-1.962571e+02	-1.900743e+02
133	0.251269	0.570712	0.225828	0.0334788	0.418643	0.109797	0.109125	6.097909e+00	-1.969946e+02	-1.908967e+02
134	0.251269	0.670255	0.225828	0.0334788	0.418643	0.109797	0.108442	5.826651e+00	-1.972590e+02	-1.914324e+02
135	0.251269	0.665245	0.225828	0.0334788	0.418643	0.109619	0.108442	5.838681e+00	-1.979357e+02	-1.920970e+02
136	0.335749	0.665245	0.210058	0.0334788	0.409477	0.109619	0.108442	6.197778e+00	-1.984118e+02	-1.922140e+02
137	0.374338	0.501555	0.210058	0.0334788	0.409477	0.109855	0.108442	7.209291e+00	-1.975298e+02	-1.903205e+02
138	0.393053	0.892427	0.210058	0.0334788	0.409477	0.109328	0.108442	5.872207e+00	-1.995075e+02	-1.936353e+02
139	0.356112	0.815996	0.230556	0.0334788	0.409477	0.109328	0.108077	5.880993e+00	-1.988617e+02	-1.929807e+02
140	0.356112	0.807937	0.230556	0.0334788	0.409477	0.109328	0.108077	5.898672e+00	-1.988617e+02	-1.929630e+02
141	0.356112	0.522654	0.221204	0.0334788	0.409477	0.109857	0.108683	6.903385e+00	-1.960948e+02	-1.891914e+02
142	0.356112	0.430873	0.221204	0.0334788	0.409477	0.109997	0.108683	7.704332e+00	-1.955792e+02	-1.878748e+02
143	0.356112	0.430873	0.221204	0.0334788	0.409477	0.109997	0.108683	7.704332e+00	-1.955792e+02	-1.878748e+02
144	0.364821	0.430873	0.221204	0.0334788	0.409477	0.109997	0.107364	7.841805e+00	-1.961898e+02	-1.883480e+02
145	0.364821	0.430873	0.221204	0.0334788	0.409477	0.109997	0.106718	7.841805e+00	-1.964997e+02	-1.886579e+02
146	0.364821	0.430873	0.221204	0.0334788	0.416977	0.109997	0.106718	7.841805e+00	-1.965498e+02	-1.887080e+02
147	0.364821	0.430873	0.221204	0.0334788	0.416977	0.109997	0.105919	7.841805e+00	-1.968894e+02	-1.890476e+02
148	0.364821	0.430873	0.221204	0.0334788	0.416977	0.109997	0.105919	7.841805e+00	-1.968894e+02	-1.890476e+02
